"filename", "language", "HTML", "CSS", "JavaScript", "JSON", "XML", "Python", "Draw.io", "comment", "blank", "total"
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\app.css", "CSS", 0, 74, 0, 0, 0, 0, 0, 2, 13, 89
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\checkbox.css", "CSS", 0, 122, 0, 0, 0, 0, 0, 0, 22, 144
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\examples.css", "CSS", 0, 8, 0, 0, 0, 0, 0, 5, 2, 15
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\explains.css", "CSS", 0, 69, 0, 0, 0, 0, 0, 2, 16, 87
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\listening.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\pages.css", "CSS", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\read.css", "CSS", 0, 15, 0, 0, 0, 0, 0, 1, 1, 17
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\recorder.css", "CSS", 0, 93, 0, 0, 0, 0, 0, 0, 18, 111
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\sentence.css", "CSS", 0, 38, 0, 0, 0, 0, 0, 0, 7, 45
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\sentenceMenu.css", "CSS", 0, 20, 0, 0, 0, 0, 0, 1, 3, 24
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\style.css", "CSS", 0, 86, 0, 0, 0, 0, 0, 0, 12, 98
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\toolbar.css", "CSS", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\style\writing.css", "CSS", 0, 152, 0, 0, 0, 0, 0, 6, 19, 177
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\test\paint.html", "HTML", 79, 0, 0, 0, 0, 0, 0, 0, 9, 88
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\test\patch.html", "HTML", 36, 0, 0, 0, 0, 0, 0, 0, 3, 39
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\test\sentenceContainerStyle.html", "HTML", 60, 0, 0, 0, 0, 0, 0, 0, 10, 70
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\test\sentenceMenuStyle.html", "HTML", 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\test\timer.html", "HTML", 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\test\toggleHideShow.html", "HTML", 37, 0, 0, 0, 0, 0, 0, 0, 9, 46
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\white.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"e:\Code Everyday\2022-09\0911-Sportsman\sportsman0.2\sportsman0.2\wordEx.html", "HTML", 971, 0, 0, 0, 0, 0, 0, 0, 5, 976
"Total", "-", 1404, 1536, 967, 14, 2, 347, 1, 210, 670, 5151
